2010-06-21	11080	11410	11050	11370	2499800	11370
2010-06-18	10720	10890	10720	10780	1367700	10780
2010-06-17	10680	10810	10650	10720	1183700	10720
2010-06-16	10720	10800	10660	10700	1358200	10700
2010-06-15	10490	10580	10440	10540	1020800	10540
2010-06-14	10480	10670	10410	10620	1436800	10620
2010-06-11	10550	10560	10360	10380	5317700	10380
2010-06-10	9980	10240	9880	10230	3259500	10230
2010-06-09	9710	9750	9470	9630	2738000	9630
2010-06-08	9300	9590	9260	9560	1992100	9560
2010-06-07	9590	9590	9270	9320	2353800	9320
2010-06-04	9790	9990	9780	9890	1610700	9890
2010-06-03	9620	9800	9610	9770	2237000	9770
2010-06-02	9400	9700	9390	9470	1711900	9470
2010-06-01	9660	9660	9410	9500	1158800	9500
2010-05-31	9700	9760	9540	9610	1507600	9610
2010-05-28	9540	9750	9470	9650	3159300	9650
2010-05-27	8800	9250	8750	9240	2658400	9240
2010-05-26	9100	9170	8840	8950	2427100	8950
2010-05-25	9150	9170	8850	9020	2246400	9020
2010-05-24	9310	9340	9050	9290	2504300	9290
2010-05-21	9270	9450	9240	9270	2848500	9270
2010-05-20	9760	9770	9480	9550	2023600	9550
2010-05-19	9670	9900	9650	9830	1981100	9830
2010-05-18	9920	10040	9770	9850	1722300	9850
2010-05-17	10110	10110	9610	9700	2124300	9700
2010-05-14	9990	10110	9870	9960	2421400	9960
2010-05-13	10220	10290	10040	10200	1421700	10200
2010-05-12	10140	10240	9850	9950	1597400	9950
2010-05-11	10090	10350	10000	10100	5634200	10100
2010-05-10	10170	10320	9780	9810	4692700	9810
2010-05-07	10500	10640	10070	10120	3929400	10120
2010-05-06	10670	10860	10610	10860	2590700	10860
2010-04-30	11230	11250	11060	11170	1655500	11170
2010-04-28	11070	11320	11040	11050	5063700	11050
2010-04-27	10360	11670	10360	11670	6961000	11670
2010-04-26	10290	10470	10230	10470	1015900	10470
2010-04-23	10100	10260	10070	10090	1011700	10090
2010-04-22	10290	10300	10120	10190	1098500	10190
2010-04-21	10270	10470	10230	10470	996100	10470
2010-04-20	10240	10260	10050	10120	1052800	10120
2010-04-19	10150	10270	10140	10230	803200	10230
2010-04-16	10570	10570	10370	10400	876900	10400
2010-04-15	10540	10590	10480	10560	1134700	10560
2010-04-14	10300	10430	10210	10400	834700	10400
2010-04-13	10250	10290	10140	10250	827000	10250
2010-04-12	10410	10500	10310	10310	738200	10310
2010-04-09	10240	10290	10220	10240	2193000	10240
2010-04-08	10220	10290	10170	10260	1126700	10260
2010-04-07	10410	10460	10320	10320	892300	10320
2010-04-06	10590	10620	10380	10420	985800	10420
2010-04-05	10460	10570	10420	10490	1228200	10490
2010-04-02	10150	10270	10130	10220	725600	10220
2010-04-01	10020	10260	9960	10210	2191400	10210
2010-03-31	10140	10140	9920	9920	1283400	9920
2010-03-30	9990	10040	9920	10010	1008100	10010
2010-03-29	9850	9950	9820	9910	869400	9910
2010-03-26	9860	10000	9850	9900	1606400	9900
2010-03-25	9460	9800	9460	9750	1942200	9750
2010-03-24	9330	9420	9330	9380	835600	9380
2010-03-23	9260	9330	9260	9310	529400	9310
2010-03-19	9340	9380	9290	9370	692700	9370
2010-03-18	9350	9370	9250	9280	661800	9280
2010-03-17	9360	9410	9270	9380	990700	9380
2010-03-16	9270	9330	9260	9280	645800	9280
2010-03-15	9320	9340	9230	9280	482400	9280
2010-03-12	9300	9330	9240	9270	4648600	9270
2010-03-11	9220	9240	9070	9180	1091500	9180
2010-03-10	9170	9210	9120	9120	705800	9120
2010-03-09	9190	9280	9160	9210	697100	9210
2010-03-08	9150	9220	9130	9180	1350200	9180
2010-03-05	8730	8900	8710	8890	1286800	8890
2010-03-04	8810	8820	8610	8640	855700	8640
2010-03-03	8740	8810	8700	8800	599700	8800
2010-03-02	8750	8790	8670	8770	709500	8770
2010-03-01	8680	8840	8670	8730	710800	8730
2010-02-26	8750	8760	8660	8680	721400	8680
2010-02-25	8850	8860	8650	8660	773900	8660
2010-02-24	8760	8800	8660	8760	1170000	8760
2010-02-23	8910	8970	8820	8900	911500	8900
2010-02-22	8900	9000	8860	9000	1070600	9000
2010-02-19	8890	8930	8680	8680	1045600	8680
2010-02-18	9060	9070	8880	8900	889400	8900
2010-02-17	8950	9000	8870	9000	1519600	9000
2010-02-16	8900	8940	8860	8900	430700	8900
2010-02-15	8930	8990	8860	8870	474200	8870
2010-02-12	8980	8990	8850	8890	1308600	8890
2010-02-10	8940	9010	8850	8850	1121100	8850
2010-02-09	8560	8820	8550	8790	1025200	8790
2010-02-08	8770	8880	8690	8710	1009500	8710
2010-02-05	8840	8980	8820	8860	1509200	8860
2010-02-04	9170	9220	9060	9130	934600	9130
2010-02-03	9340	9370	9190	9260	1483500	9260
2010-02-02	9190	9300	9160	9240	1949700	9240
2010-02-01	8960	9140	8890	9040	4264100	9040
2010-01-29	8370	8820	8260	8660	2867900	8660
2010-01-28	8450	8560	8340	8510	1263100	8510
2010-01-27	8340	8360	8250	8250	1053400	8250
2010-01-26	8570	8600	8330	8340	1360400	8340
2010-01-25	8360	8540	8320	8480	1305100	8480
2010-01-22	8460	8580	8450	8460	1879400	8460
2010-01-21	8550	8830	8480	8740	2617800	8740
2010-01-20	8800	8870	8680	8700	1145500	8700
2010-01-19	8990	9000	8820	8820	560800	8820
2010-01-18	8970	8980	8830	8920	1249900	8920
2010-01-15	9150	9230	9040	9110	1499500	9110
2010-01-14	9050	9260	9030	9260	1284700	9260
2010-01-13	9110	9190	8960	8960	1043200	8960
2010-01-12	8910	9290	8910	9250	1624800	9250
2010-01-08	8690	8910	8680	8910	2661900	8910
2010-01-07	8690	8710	8510	8540	1092700	8540
2010-01-06	8740	8790	8670	8740	850800	8740
2010-01-05	8930	9000	8770	8800	1249000	8800
2010-01-04	8690	8780	8670	8770	503200	8770
2009-12-30	8800	8810	8630	8630	761200	8630
2009-12-29	8710	8770	8650	8750	1097400	8750
2009-12-28	8590	8700	8570	8700	716800	8700
2009-12-25	8630	8630	8500	8540	394900	8540
2009-12-24	8430	8650	8430	8620	1243700	8620
2009-12-22	8250	8430	8240	8430	871600	8430
2009-12-21	8300	8330	8250	8280	438500	8280
2009-12-18	8210	8320	8140	8280	794300	8280
2009-12-17	8300	8400	8250	8250	838400	8250
2009-12-16	8370	8430	8240	8300	930900	8300
2009-12-15	8280	8310	8200	8300	773600	8300
2009-12-14	8230	8400	8230	8380	1834700	8380
2009-12-11	7980	8130	7960	8130	3344200	8130
2009-12-10	7870	8060	7850	7860	969500	7860
2009-12-09	7950	8000	7890	7920	659100	7920
2009-12-08	8000	8060	8000	8050	1038400	8050
2009-12-07	7990	8110	7940	8070	1687000	8070
2009-12-04	7690	7810	7640	7790	1161400	7790
2009-12-03	7420	7640	7420	7640	1005200	7640
2009-12-02	7340	7350	7230	7290	761600	7290
2009-12-01	7090	7280	7000	7280	1316900	7280
2009-11-30	7090	7200	7030	7140	1303300	7140
2009-11-27	7230	7230	6980	6990	1227600	6990
2009-11-26	7300	7350	7260	7280	728600	7280
2009-11-25	7300	7420	7260	7360	988900	7360
2009-11-24	7330	7340	7230	7230	1258100	7230
2009-11-20	7430	7480	7380	7440	719900	7440
2009-11-19	7580	7600	7490	7530	745300	7530
2009-11-18	7530	7640	7490	7550	723700	7550
2009-11-17	7680	7690	7610	7630	629000	7630
2009-11-16	7610	7650	7520	7650	482600	7650
2009-11-13	7490	7650	7480	7550	1021500	7550
2009-11-12	7630	7700	7450	7530	982400	7530
2009-11-11	7700	7750	7630	7640	518300	7640
2009-11-10	7740	7800	7580	7620	867600	7620
2009-11-09	7600	7670	7530	7610	503300	7610
2009-11-06	7580	7680	7550	7550	972300	7550
2009-11-05	7450	7540	7380	7380	813700	7380
2009-11-04	7530	7530	7440	7480	816200	7480
2009-11-02	7500	7520	7440	7440	1088700	7440
2009-10-30	7750	7800	7660	7710	1239000	7710
2009-10-29	7780	7800	7680	7690	1790000	7690
2009-10-28	7930	7960	7870	7910	950200	7910
2009-10-27	8060	8070	7930	7930	831900	7930
2009-10-26	8090	8180	8050	8160	659400	8160
2009-10-23	8080	8150	8060	8080	1013100	8080
2009-10-22	7850	8070	7850	8020	1341400	8020
2009-10-21	7920	8000	7900	7910	588100	7910
2009-10-20	7930	8010	7920	8000	823100	8000
2009-10-19	7740	7890	7740	7860	1040400	7860
2009-10-16	7800	7830	7750	7800	1057200	7800
2009-10-15	7700	7780	7690	7740	1255900	7740
2009-10-14	7540	7640	7400	7580	1207200	7580
2009-10-13	7650	7680	7580	7640	1103200	7640
2009-10-09	7420	7610	7400	7610	2480600	7610
2009-10-08	7360	7430	7300	7400	1187800	7400
2009-10-07	7450	7500	7400	7430	1253200	7430
2009-10-06	7550	7570	7450	7450	1042100	7450
2009-10-05	7550	7630	7450	7450	873800	7450
2009-10-02	7700	7710	7610	7650	1137400	7650
2009-10-01	7920	7950	7790	7800	829400	7800
2009-09-30	7990	8080	7980	8050	705800	8050
2009-09-29	7970	8020	7940	7990	948800	7990
2009-09-28	7800	7850	7720	7770	949300	7770
2009-09-25	8040	8040	7920	7950	994900	7950
2009-09-24	8190	8250	8170	8230	1682600	8230
2009-09-18	7980	8070	7900	7950	1393900	7950
2009-09-17	7800	7950	7790	7950	1464100	7950
2009-09-16	7680	7780	7660	7690	859500	7690
2009-09-15	7600	7670	7540	7590	572000	7590
2009-09-14	7680	7680	7430	7500	718700	7500
2009-09-11	7710	7790	7680	7700	3425200	7700
2009-09-10	7600	7700	7550	7650	676300	7650
2009-09-09	7620	7680	7520	7590	741700	7590
2009-09-08	7500	7670	7420	7670	1119800	7670
2009-09-07	7340	7450	7340	7420	501400	7420
2009-09-04	7390	7390	7230	7290	667700	7290
2009-09-03	7430	7430	7290	7300	1170500	7300
2009-09-02	7450	7510	7440	7470	1063900	7470
2009-09-01	7600	7710	7560	7640	661000	7640
2009-08-31	7770	7900	7580	7590	1138200	7590
2009-08-28	7750	7770	7650	7730	575500	7730
2009-08-27	7790	7790	7600	7670	728400	7670
2009-08-26	7720	7850	7680	7800	988400	7800
2009-08-25	7630	7770	7620	7620	984200	7620
2009-08-24	7600	7740	7550	7730	1325500	7730
2009-08-21	7500	7540	7290	7330	1031500	7330
2009-08-20	7330	7500	7260	7460	634900	7460
2009-08-19	7390	7420	7310	7320	798100	7320
2009-08-18	7380	7470	7310	7350	1027900	7350
2009-08-17	7680	7700	7440	7440	1302900	7440
2009-08-14	7650	7810	7630	7780	1814700	7780
2009-08-13	7540	7590	7460	7560	629400	7560
2009-08-12	7560	7580	7440	7480	795900	7480
2009-08-11	7560	7640	7530	7640	649200	7640
2009-08-10	7600	7680	7530	7550	865900	7550
2009-08-07	7530	7560	7410	7560	838800	7560
2009-08-06	7460	7580	7460	7550	953700	7550
2009-08-05	7630	7700	7480	7480	1077100	7480
2009-08-04	7870	7900	7690	7700	1024200	7700
2009-08-03	7790	7890	7740	7810	988600	7810
2009-07-31	7740	7770	7670	7770	1198200	7770
2009-07-30	7820	7850	7550	7640	1376800	7640
2009-07-29	7750	7830	7730	7810	916000	7810
2009-07-28	7930	7930	7780	7850	884400	7850
2009-07-27	7810	7970	7810	7920	1177900	7920
2009-07-24	7790	7800	7710	7800	957700	7800
2009-07-23	7610	7740	7580	7690	734200	7690
2009-07-22	7580	7650	7480	7610	551500	7610
2009-07-21	7510	7570	7370	7570	812600	7570
2009-07-17	7440	7450	7340	7370	453600	7370
2009-07-16	7470	7500	7370	7390	664700	7390
2009-07-15	7460	7460	7230	7240	779000	7240
2009-07-14	7200	7380	7150	7360	1061500	7360
2009-07-13	7110	7330	7080	7100	1170900	7100
2009-07-10	7290	7290	7100	7110	1845400	7110
2009-07-09	7270	7390	7220	7220	1317000	7220
2009-07-08	7550	7630	7460	7460	841400	7460
2009-07-07	7740	7780	7590	7650	794300	7650
2009-07-06	7750	7820	7580	7660	810700	7660
2009-07-03	7560	7740	7530	7740	819300	7740
2009-07-02	7810	7810	7640	7660	684100	7660
2009-07-01	7600	7850	7580	7710	797100	7710
2009-06-30	7800	7850	7720	7760	685900	7760
2009-06-29	7690	7810	7650	7700	690900	7700
2009-06-26	7680	7730	7580	7700	837200	7700
2009-06-25	7460	7770	7460	7700	1804800	7700
2009-06-24	7220	7550	7220	7500	1858000	7500
2009-06-23	7250	7280	7110	7160	1354100	7160
2009-06-22	7470	7510	7400	7450	561100	7450
2009-06-19	7460	7480	7350	7460	1044200	7460
2009-06-18	7520	7560	7410	7410	1066100	7410
2009-06-17	7510	7680	7470	7620	1317400	7620
2009-06-16	7630	7680	7510	7510	1288700	7510
2009-06-15	7870	7940	7730	7730	1337200	7730
2009-06-12	8120	8130	7920	8070	3834700	8070
2009-06-11	8100	8180	8020	8020	758800	8020
2009-06-10	8020	8100	7960	8100	976000	8100
2009-06-09	7990	8100	7990	8040	831200	8040
2009-06-08	8000	8160	7980	8090	1429500	8090
2009-06-05	7880	7880	7790	7850	794000	7850
2009-06-04	7900	7930	7720	7720	1238900	7720
2009-06-03	7880	8020	7870	8000	1447200	8000
2009-06-02	7860	7940	7790	7830	1118800	7830
2009-06-01	7730	7760	7560	7760	802100	7760
2009-05-29	7700	7760	7600	7660	799300	7660
2009-05-28	7480	7670	7410	7640	1229700	7640
2009-05-27	7540	7560	7470	7520	959500	7520
2009-05-26	7560	7560	7410	7410	990700	7410
2009-05-25	7550	7680	7470	7540	1497600	7540
2009-05-22	7450	7670	7430	7630	1174700	7630
2009-05-21	7590	7630	7470	7510	1181700	7510
2009-05-20	7880	7910	7680	7730	835200	7730
2009-05-19	7840	7870	7750	7780	1014100	7780
2009-05-18	7530	7610	7410	7610	1163400	7610
2009-05-15	7610	7730	7550	7730	1000000	7730
2009-05-14	7720	7730	7520	7570	1287500	7570
2009-05-13	7930	7980	7850	7870	944300	7870
2009-05-12	7780	7990	7780	7920	1324400	7920
2009-05-11	8000	8060	7880	7880	1527200	7880
2009-05-08	8150	8170	8050	8090	2561800	8090
2009-05-07	8030	8300	7990	8230	3108600	8230
2009-05-01	7180	7550	7120	7430	2114400	7430
2009-04-30	6960	7090	6870	7070	1940200	7070
2009-04-28	6790	6920	6550	6610	1249900	6610
2009-04-27	6810	6990	6790	6890	1145300	6890
2009-04-24	6830	6940	6730	6760	1066600	6760
2009-04-23	6820	6840	6580	6780	1674300	6780
2009-04-22	6890	6950	6760	6800	1550700	6800
2009-04-21	6930	6950	6850	6900	1215300	6900
2009-04-20	7180	7250	7060	7190	759300	7190
2009-04-17	7200	7330	7140	7180	1821900	7180
2009-04-16	6950	7180	6850	6910	1315400	6910
2009-04-15	7020	7020	6830	6850	1434000	6850
2009-04-14	7180	7210	7020	7120	1402500	7120
2009-04-13	7170	7320	7090	7120	853200	7120
2009-04-10	7420	7430	7160	7240	1667600	7240
2009-04-09	7230	7330	7130	7320	1510600	7320
2009-04-08	7280	7290	7100	7130	1287500	7130
2009-04-07	7570	7610	7420	7480	1059400	7480
2009-04-06	7560	7700	7450	7560	1701800	7560
2009-04-03	7400	7460	7290	7360	1413600	7360
2009-04-02	7010	7250	6970	7250	1794900	7250
2009-04-01	6650	6800	6540	6740	1825300	6740
2009-03-31	6650	7000	6600	6630	1939000	6630
2009-03-30	6930	7010	6650	6650	1464800	6650
2009-03-27	7040	7170	6950	7030	1751700	7030
2009-03-26	6920	6980	6840	6940	1200500	6940
2009-03-25	7100	7130	6860	6860	1759500	6860
2009-03-24	7120	7260	7050	7250	2425600	7250
2009-03-23	6630	7020	6600	6890	1557300	6890
2009-03-19	6680	6710	6560	6620	1095400	6620
2009-03-18	6590	6670	6410	6670	1720500	6670
2009-03-17	6300	6560	6300	6550	2049800	6550
2009-03-16	6120	6310	6120	6210	1576200	6210
2009-03-13	6000	6180	5960	6160	4395500	6160
2009-03-12	5800	5950	5600	5600	2047800	5600
2009-03-11	5800	5900	5780	5900	2428700	5900
2009-03-10	5550	5720	5530	5580	1942100	5580
2009-03-09	5950	6040	5470	5470	3159700	5470
2009-03-06	6100	6190	5970	5970	2043800	5970
2009-03-05	6220	6480	6200	6440	2024000	6440
2009-03-04	6040	6220	5930	6220	2036700	6220
2009-03-03	6130	6260	6020	6160	1534600	6160
2009-03-02	6330	6420	6210	6240	1475400	6240
2009-02-27	6430	6500	6390	6500	1457400	6500
2009-02-26	6450	6510	6310	6330	1427400	6330
2009-02-25	6320	6420	6210	6410	1700400	6410
2009-02-24	6000	6140	5990	6120	1152500	6120
2009-02-23	5950	6200	5940	6100	1272800	6100
2009-02-20	6220	6250	6090	6090	1595400	6090
2009-02-19	6320	6400	6300	6380	1998800	6380
2009-02-18	5900	6250	5900	6220	1866300	6220
2009-02-17	5960	6130	5950	6080	1109900	6080
2009-02-16	5850	6090	5850	6040	1272800	6040
2009-02-13	5960	6000	5880	5920	1718400	5920
2009-02-12	6050	6180	5870	5870	1723400	5870
2009-02-10	6270	6330	6080	6200	1523700	6200
2009-02-09	6340	6440	6220	6220	2407400	6220
2009-02-06	6100	6160	5970	5980	2048700	5980
2009-02-05	5850	6050	5740	5900	1906800	5900
2009-02-04	5740	5970	5730	5850	1962500	5850
2009-02-03	5560	5790	5430	5640	1946400	5640
2009-02-02	5330	5510	5320	5460	1308700	5460
2009-01-30	5550	5550	5410	5460	1579300	5460
2009-01-29	5680	5850	5660	5850	2966300	5850
2009-01-28	5580	5650	5430	5520	2242400	5520
2009-01-27	5220	5380	5210	5380	2336300	5380
2009-01-26	5160	5280	5030	5120	1443200	5120
2009-01-23	5470	5470	5260	5260	1035700	5260
2009-01-22	5460	5500	5260	5500	1782200	5500
2009-01-21	5250	5490	5250	5360	1927100	5360
2009-01-20	5550	5590	5320	5390	1934000	5390
2009-01-19	5800	5820	5650	5720	958700	5720
2009-01-16	5790	5800	5620	5750	1776800	5750
2009-01-15	5630	5730	5560	5660	2136100	5660
2009-01-14	5980	6000	5900	5910	1204900	5910
2009-01-13	5850	5970	5850	5900	1674500	5900
2009-01-09	6630	6680	6210	6250	2781500	6250
2009-01-08	7020	7090	6720	6720	1904700	6720
2009-01-07	6750	7340	6740	7320	2514700	7320
2009-01-06	6810	6820	6640	6690	1239700	6690
2009-01-05	6590	6840	6590	6770	1111000	6770
2008-12-30	6160	6370	6140	6290	652800	6290
2008-12-29	6130	6180	6020	6120	411400	6120
2008-12-26	5980	6170	5960	6160	478900	6160
2008-12-25	5900	6000	5870	6000	222700	6000
2008-12-24	6010	6130	5900	5920	883500	5920
2008-12-22	6080	6240	6000	6210	867800	6210
2008-12-19	6350	6350	6000	6010	1727900	6010
2008-12-18	6100	6340	6080	6340	1882200	6340
2008-12-17	6150	6240	5910	6040	1822800	6040
2008-12-16	5800	6020	5760	5950	1062000	5950
2008-12-15	5740	5970	5740	5960	1284000	5960
2008-12-12	5620	5860	5360	5460	3786200	5460
2008-12-11	5870	5930	5740	5910	1380100	5910
2008-12-10	5520	5840	5420	5830	1366900	5830
2008-12-09	5550	5640	5480	5620	1380800	5620
2008-12-08	5160	5480	5080	5450	1459100	5450
2008-12-05	5160	5280	5130	5140	1642800	5140
2008-12-04	5410	5490	5120	5150	1593700	5150
2008-12-03	5470	5520	5250	5400	1463600	5400
2008-12-02	5380	5560	5370	5370	1491300	5370
2008-12-01	5810	5840	5690	5770	778600	5770
2008-11-28	5950	6000	5820	5890	1032800	5890
2008-11-27	6030	6120	5880	5940	858400	5940
2008-11-26	5870	6120	5820	5960	2064900	5960
2008-11-25	5960	6030	5630	5890	1980000	5890
2008-11-21	4920	5760	4870	5680	3445200	5680
2008-11-20	5110	5240	5010	5010	1679600	5010
2008-11-19	5630	5630	5240	5410	1575600	5410
2008-11-18	5560	5620	5480	5580	1264400	5580
2008-11-17	5540	5880	5370	5660	1772900	5660
2008-11-14	5700	5870	5600	5640	2459100	5640
2008-11-13	5600	5630	5280	5350	2608400	5350
2008-11-12	5900	6140	5860	6020	1404000	6020
2008-11-11	6100	6330	6010	6160	1495100	6160
2008-11-10	6260	6480	6180	6400	1834700	6400
2008-11-07	6090	6360	5700	6080	3301200	6080
2008-11-06	6500	6620	6420	6590	2262000	6590
2008-11-05	6970	7030	6810	7000	1638200	7000
2008-11-04	6660	6830	6590	6740	2077100	6740
2008-10-31	6880	6950	6350	6360	2972100	6360
2008-10-30	6200	7190	6050	7180	2516300	7180
2008-10-29	6010	6530	5560	6190	3405700	6190
2008-10-28	5310	6000	5170	6000	5099900	6000
2008-10-27	4970	5360	4960	5110	5335700	5110
